Key;English;Dutch;German;French;Spanish;Italian;Russian;Chinese Simplified;Japanese;Korean
main_menu;Main menu;Hoofdmenu;Hauptmenü;Menu principal;Menú principal;Menu principale;Главное меню;主菜单;メインメニュー;메인 메뉴
measurement;Measurement;Meeting;Messung;Mesure;Medición;Misurazione;Измерение;测量;測定;측량
setup;Setup;Opties;Einrichtung;Coup monté;Arreglo;Apparecchio;Настройка;设置;セットアップ;설치
settings;Settings;Instellingen;Einstellungen;Paramètres;Configuración;Impostazioni;Параметры;设置;設定;설정
info;Info;Info;Info;Info;Información;Informazioni;Информация;信息;情報;정보
theme_light;Light;Licht;Licht;Lumière;Luz;Leggero;Свет;光;光;광
theme_dark;Dark;Donker;Dunkel;Sombre;Oscuro;Oscuro;Темный;黑暗;暗い;어둠
measurement;Measurement;Meeting;Messung;Mesure;Medición;Misurazione;Измерение;测量;測定;측량
language;Language;Taal;Sprache;Langue;Idioma;Lingua;Язык;语言;言語;언어
brightness;Brightness;Helderheid;Helligkeit;Luminosité;Brillo;Luminosità;Яркость;亮度;明るさ;밝기
info;Info;Info;Info;Info;Información;Informazioni;Информация;信息;情報;정보
theme;Theme;Thema;Thema;Thème;Tema;Tema;Тема;主题;テーマ;주제
units;Units;Eenheden;Einheiten;Unités;Unidades;Unità;Единиц;单位;単位;단위
intern_temp;Internal temp:;Interne temp.:;Interne Temperatur:;Température interne:;Temperatura interna:;Temperatura interna:;Внутренняя температура:;内部温度：;内部温度:;내부 온도:
back;Back;Terug;Zurück;Dos;Atrás;Indietro;Назад;后退;戻る;뒤쪽에
limits;Limits;Grenzen;Grenzen;Limites;Límites;Limiti;Ограничения;限制;切り;제한
high;High;Hoog;Hoch;Haut;Alto;Alto;Высокий;高;高い;높다
low;Low;Laag;Niedrig;Bas;Bajo;Basso;Низкий;低;低い;낮다
interval;Interval;Interval;Intervall;Intervalle;Intervalo;Intervallo;Интервал;间隔;間;간
